//New HSK (2013)/Level 1
爱[愛]	ài
迄今为止[迄今爲止]	qìjīnwéizhǐ
器材[器材]	qìcái
器官[器官]	qìguān
掐[掐]	qiā
洽谈[洽談]	qiàtán
恰当[恰當]	qiàdàng
恰到好处[恰到好處]	qià dào hǎo chù
恰巧[恰巧]	qiàqiǎo
千方百计[千方百計]	qiān fāng bǎi jì
迁就[遷就]	qiānjiù
迁徙[遷徙]	qiānxǐ
牵[牽]	qiān
牵扯[牽扯]	qiānchě
牵制[牽制]	qiānzhì
谦逊[謙遜]	qiānxùn
签署[簽署]	qiānshǔ
前景[前景]	qiánjǐng
前提[前提]	qiántí
潜力[潛力]	qiánlì
潜水[潛水]	qiánshuǐ
潜移默化[潛移默化]	qiányímòhuà
谴责[譴責]	qiǎnzé
强制[強制]	qiángzhì
抢劫[搶劫]	qiǎngjié
抢救[搶救]	qiǎngjiù
强迫[強迫]	qiǎngpò
桥梁[橋梁]	qiáoliáng
窍门[竅門]	qiàomén
翘[翹]	qiào
切实[切實]	qièshí
锲而不舍[锲而不舍]	qiè'érbùshě
钦佩[欽佩]	qīnpèi
侵犯[侵犯]	qīnfàn
侵略[侵略]	qīnlüè
亲密[親密]	qīnmì
亲热[親熱]	qīnrè
勤俭[勤儉]	qínjiǎn
勤劳[勤勞]	qínláo
倾听[傾聽]	qīngtīng
倾向[傾向]	qīngxiàng
倾斜[傾斜]	qīngxié
清澈[清澈]	qīngchè
清晨[清晨]	qīngchén
清除[清除]	qīngchú
清洁[清潔]	qīngjié
清理[清理]	qīnglǐ
清晰[清晰]	qīngxī
清醒[清醒]	qīngxǐng
清真[清真]	qīngzhēn
情报[情報]	qíngbào
情节[情節]	qíngjié
情理[情理]	qínglǐ
情形[情形]	qíngxing
晴朗[晴朗]	qínglǎng
请柬[請柬]	qǐngjiǎn
请教[請教]	qǐngjiào
请示[請示]	qǐngshì
请帖[請帖]	qǐngtiě
丘陵[丘陵]	qiūlíng
区分[區分]	qūfēn
区域[區域]	qūyù
曲折[曲折]	qūzhé
驱逐[驅逐]	qūzhú
屈服[屈服]	qūfú
渠道[渠道]	qúdào
曲子[曲子]	qǔzi
取缔[取締]	qǔdì
趣味[趣味]	qùwèi
圈套[圈套]	quāntào
权衡[權衡]	quánhéng
权威[權威]	quánwēi
全局[全局]	quánjú
全力以赴[全力以赴]	quán lì yǐ fù
拳头[拳頭]	quántou
犬[犬]	quǎn
缺口[缺口]	quēkǒu
缺席[缺席]	quē xí
缺陷[缺陷]	quēxiàn
瘸[瘸]	qué
确保[確保]	quèbǎo
确立[確立]	quèlì
确切[確切]	quèqiè
确信[確信]	quèxìn
群众[群衆]	qúnzhòng
染[染]	rǎn
嚷[嚷]	rǎng
让步[讓步]	ràng bù
饶恕[饒恕]	ráoshù
扰乱[擾亂]	rǎoluàn
惹祸[惹禍]	rěhuò
热泪盈眶[熱淚盈眶]	rè lèi yíng kuàng
热门[熱門]	rèmén
人道[人道]	réndào
人格[人格]	réngé
人工[人工]	réngōng
人家[人家]	rénjiā
人间[人間]	rénjiān
人士[人士]	rénshì
人为[人爲]	rénwéi
人性[人性]	rénxìng
人质[人質]	rénzhì
仁慈[仁慈]	réncí
忍耐[忍耐]	rěnnài
忍受[忍受]	rěnshòu
认定[認定]	rèndìng
认可[認可]	rènkě
任命[任命]	rènmìng
任性[任性]	rènxìng
任意[任意]	rènyì
任重道远[任重道遠]	rènzhòngdàoyuǎn
仍旧[仍舊]	réngjiù
日新月异[日新月異]	rìxīnyuèyì
日益[日益]	rìyì
荣幸[榮幸]	róngxìng
荣誉[榮譽]	róngyù
容貌[容貌]	róngmào
容纳[容納]	róngnà
容器[容器]	róngqì
容忍[容忍]	róngrěn
溶解[溶解]	róngjiě
融化[融化]	rónghuà
融洽[融洽]	róngqià
柔和[柔和]	róuhé
揉[揉]	róu
儒家[儒家]	rújiā
若干[若幹]	ruògān
弱点[弱點]	ruòdiǎn
撒谎[撒謊]	sā huǎng
散文[散文]	sǎnwén
散布[散布]	sànbù
散发[散發]	sànfā
丧失[喪失]	sàngshī
骚扰[騷擾]	sāorǎo
嫂子[嫂子]	sǎozi
刹车[刹車]	shā chē
啥[啥]	shá
筛选[篩選]	shāixuǎn
山脉[山脈]	shānmài
闪烁[閃爍]	shǎnshuò
擅长[擅長]	shàncháng
擅自[擅自]	shànzì
伤脑筋[傷腦筋]	shāng nǎojīn
商标[商標]	shāngbiāo
上级[上級]	shàngjí
上进[上進]	shàngjìn
上任[上任]	shàng rèn
上瘾[上瘾]	shàngyǐn
上游[上遊]	shàngyóu
尚且[尚且]	shàngqiě
捎[捎]	shāo
梢[梢]	shāo
哨[哨]	shào
奢侈[奢侈]	shēchǐ
舌头[舌頭]	shétou
设立[設立]	shèlì
设想[設想]	shèxiǎng
设置[設置]	shèzhì
社区[社區]	shèqū
涉及[涉及]	shèjí
摄氏度[攝氏度]	shèshìdù
申报[申報]	shēnbào
呻吟[呻吟]	shēnyín
绅士[紳士]	shēnshì
深奥[深奧]	shēn'ào
深沉[深沈]	shēnchén
深情厚谊[深情厚誼]	shēnqínghòuyì
神经[神經]	shénjīng
神奇[神奇]	shénqí
神气[神氣]	shénqì
神圣[神聖]	shénshèng
神态[神態]	shéntài
神仙[神仙]	shénxiān
审查[審查]	shěnchá
审理[審理]	shěnlǐ
审美[審美]	shěnměi
审判[審判]	shěnpàn
渗透[滲透]	shèntòu
慎重[慎重]	shènzhòng
生存[生存]	shēngcún
生机[生機]	shēngjī
生理[生理]	shēnglǐ
生疏[生疏]	shēngshū
生态[生態]	shēngtài
生物[生物]	shēngwù
生肖[生肖]	shēngxiào
生效[生效]	shēng xiào
生锈[生鏽]	shēngxiù
生育[生育]	shēngyù
声明[聲明]	shēngmíng
声势[聲勢]	shēngshì
声誉[聲譽]	shēngyù
牲畜[牲畜]	shēngchù
省会[省會]	shěnghuì
胜负[勝負]	shèngfù
盛产[盛産]	shèngchǎn
盛开[盛開]	shèngkāi
盛情[盛情]	shèngqíng
盛行[盛行]	shèngxíng
尸体[屍體]	shītǐ
失事[失事]	shī shì
失误[失誤]	shīwù
失踪[失蹤]	shī zōng
师范[師範]	shīfàn
施加[施加]	shījiā
施展[施展]	shīzhǎn
十足[十足]	shízú
石油[石油]	shíyóu
时常[時常]	shícháng
时而[時而]	shí'ér
时光[時光]	shíguāng
时机[時機]	shíjī
时事[時事]	shíshì
识别[識別]	shíbié
实惠[實惠]	shíhuì
实力[實力]	shílì
实施[實施]	shíshī
实事求是[實事求是]	shí shì qiú shì
实行[實行]	shíxíng
实质[實質]	shízhì
拾[拾]	shí
使命[使命]	shǐmìng
示范[示範]	shìfàn
示威[示威]	shìwēi
示意[示意]	shìyì
世代[世代]	shìdài
势必[勢必]	shìbì
势力[勢力]	shìli
事故[事故]	shìgù
事迹[事迹]	shìjì
事件[事件]	shìjiàn
事态[事態]	shìtài
事务[事務]	shìwù
事项[事項]	shìxiàng
事业[事業]	shìyè
试图[試圖]	shìtú
试验[試驗]	shìyàn
视力[視力]	shìlì
视频[視頻]	shìpín
视线[視線]	shìxiàn
视野[視野]	shìyě
是非[是非]	shìfēi
适宜[適宜]	shìyí
逝世[逝世]	shìshì
释放[釋放]	shìfàng
收藏[收藏]	shōucáng
收缩[收縮]	shōusuō
收益[收益]	shōuyì
收音机[收音機]	shōuyīnjī
手法[手法]	shǒufǎ
手势[手勢]	shǒushì
手艺[手藝]	shǒuyì
守护[守護]	shǒuhù
首饰[首飾]	shǒushì
首要[首要]	shǒuyào
受罪[受罪]	shòuzuì
授予[授予]	shòuyǔ
书法[書法]	shūfǎ
书籍[書籍]	shūjí
书记[書記]	shūji
书面[書面]	shūmiàn
舒畅[舒暢]	shūchàng
疏忽[疏忽]	shūhu
疏远[疏遠]	shūyuǎn
束[束]	shù
束缚[束縛]	shùfù
树立[樹立]	shùlì
竖[豎]	shù
数额[數額]	shù'é
耍[耍]	shuǎ
衰老[衰老]	shuāilǎo
衰退[衰退]	shuāituì
率领[率領]	shuàilǐng
涮火锅[涮火鍋]	shuànhuǒguō
双胞胎[雙胞胎]	shuāngbāotāi
爽快[爽快]	shuǎngkuài
水利[水利]	shuǐlì
水龙头[水龍頭]	shuǐlóngtóu
水泥[水泥]	shuǐní
瞬间[瞬間]	shùnjiān
司法[司法]	sīfǎ
司令[司令]	sīlìng
私自[私自]	sīzì
思念[思念]	sīniàn
思索[思索]	sīsuǒ
思维[思維]	sīwéi
斯文[斯文]	sīwen
死亡[死亡]	sǐwáng
四肢[四肢]	sìzhī
寺庙[寺廟]	sìmiào
饲养[飼養]	sìyǎng
肆无忌惮[肆無忌憚]	sìwújìdàn
耸[聳]	sǒng
艘[艘]	sōu
苏醒[蘇醒]	sūxǐng
俗话[俗話]	súhuà
诉讼[訴訟]	sùsòng
素食[素食]	sùshí
素质[素質]	sùzhì
塑造[塑造]	sùzào
算数[算數]	suànshù
随即[隨即]	suíjí
随意[隨意]	suíyì
岁月[歲月]	suìyuè
隧道[隧道]	suìdào
损坏[損壞]	sǔnhuài
索取[索取]	suǒqǔ
索性[索性]	suǒxìng
塌[塌]	tā
踏实[踏實]	tāshi
塔[塔]	tǎ
台风[台風]	táifēng
太空[太空]	tàikōng
泰斗[泰鬥]	tàidǒu
贪婪[貪婪]	tānlán
贪污[貪汙]	tānwū
摊[攤]	tān
瘫痪[癱瘓]	tānhuàn
弹性[彈性]	tánxìng
坦白[坦白]	tǎnbái
叹气[歎氣]	tàn qì
探测[探測]	tàncè
探索[探索]	tànsuǒ
探讨[探討]	tàntǎo
探望[探望]	tànwàng
倘若[倘若]	tǎngruò
掏[掏]	tāo
滔滔不绝[滔滔不絕]	tāotāo bù jué
陶瓷[陶瓷]	táocí
陶醉[陶醉]	táozuì
淘汰[淘汰]	táotài
讨好[討好]	tǎohǎo
特长[特長]	tècháng
特定[特定]	tèdìng
特意[特意]	tèyì
提拔[提拔]	tíbá
提炼[提煉]	tíliàn
提示[提示]	tíshì
提议[提議]	tíyì
题材[題材]	tícái
体裁[體裁]	tǐcái
体积[體積]	tǐjī
体谅[體諒]	tǐliàng
体面[體面]	tǐmiàn
体系[體系]	tǐxì
天才[天才]	tiāncái
天赋[天賦]	tiānfù
天伦之乐[天倫之樂]	tiānlúnzhīlè
天然气[天然氣]	tiānránqì
天生[天生]	tiānshēng
天堂[天堂]	tiāntáng
天文[天文]	tiānwén
田径[田徑]	tiánjìng
田野[田野]	tiányě
舔[舔]	tiǎn
挑剔[挑剔]	tiāoti
条款[條款]	tiáokuǎn
条理[條理]	tiáolǐ
条约[條約]	tiáoyuē
调和[調和]	tiáohé
调剂[調劑]	tiáojì
调节[調節]	tiáojié
调解[調解]	tiáojiě
调料[調料]	tiáoliào
挑拨[挑撥]	tiǎobō
挑衅[挑釁]	tiǎoxìn
跳跃[跳躍]	tiàoyuè
亭子[亭子]	tíngzi
停泊[停泊]	tíngbó
停顿[停頓]	tíngdùn
停滞[停滯]	tíngzhì
挺拔[挺拔]	tǐngbá
通货膨胀[通貨膨脹]	tōnghuò péngzhàng
通缉[通緝]	tōngjī
通俗[通俗]	tōngsú
通讯[通訊]	tōngxùn
通用[通用]	tōngyòng
同胞[同胞]	tóngbāo
同志[同志]	tóngzhì
铜[銅]	tóng
童话[童話]	tónghuà
统筹兼顾[統籌兼顧]	tǒngchóujiāngù
统计[統計]	tǒngjì
统统[統統]	tǒngtǒng
统治[統治]	tǒngzhì
投机[投機]	tóujī
投票[投票]	tóupiào
投诉[投訴]	tóusù
投降[投降]	tóuxiáng
投掷[投擲]	tóuzhì
透露[透露]	tòulù
秃[禿]	tū
突破[突破]	tūpò
图案[圖案]	tú'àn
徒弟[徒弟]	túdì
途径[途徑]	tújìng
涂抹[塗抹]	túmǒ
土壤[土壤]	tǔrǎng
团结[團結]	tuánjié
团体[團體]	tuántǐ
团圆[團圓]	tuányuán
推测[推測]	tuīcè
推翻[推翻]	tuīfān
推理[推理]	tuīlǐ
推论[推論]	tuīlùn
推销[推銷]	tuīxiāo
吞吞吐吐[吞吞吐吐]	tūntūntǔtǔ
托运[托運]	tuōyùn
拖延[拖延]	tuōyán
脱离[脫離]	tuōlí
妥当[妥當]	tuǒdang
妥善[妥善]	tuǒshàn
妥协[妥協]	tuǒxié
椭圆[橢圓]	tuǒyuán
唾弃[唾棄]	tuòqì
挖掘[挖掘]	wājué
哇[哇]	wa
娃娃[娃娃]	wáwa
瓦解[瓦解]	wǎjiě
歪曲[歪曲]	wāiqū
外表[外表]	wàibiǎo
外行[外行]	wàiháng
外界[外界]	wàijiè
外向[外向]	wàixiàng
丸[丸]	wán
完备[完備]	wánbèi
完毕[完畢]	wánbì
玩弄[玩弄]	wánnòng
玩意儿[玩意兒]	wányìr
顽固[頑固]	wángù
顽强[頑強]	wánqiáng
挽回[挽回]	wǎnhuí
挽救[挽救]	wǎnjiù
惋惜[惋惜]	wǎnxī
万分[萬分]	wànfēn
往常[往常]	wǎngcháng
往事[往事]	wǎngshì
妄想[妄想]	wàngxiǎng
危机[危機]	wēijī
威风[威風]	wēifēng
威力[威力]	wēilì
威望[威望]	wēiwàng
威信[威信]	wēixìn
微不足道[微不足道]	wēi bù zú dào
微观[微觀]	wēiguān
为难[爲難]	wéinán
为期[爲期]	wéiqī
违背[違背]	wéibèi
唯独[唯獨]	wéidú
维持[維持]	wéichí
维护[維護]	wéihù
维生素[維生素]	wéishēngsù
伪造[僞造]	wěizào
委托[委托]	wěituō
委员[委員]	wěiyuán
卫星[衛星]	wèixīng
未免[未免]	wèimiǎn
畏惧[畏懼]	wèijù
喂[喂]	wèi, wéi
蔚蓝[蔚藍]	wèilán
慰问[慰問]	wèiwèn
温带[溫帶]	wēndài
温和[溫和]	wēnhé
文凭[文憑]	wénpíng
文物[文物]	wénwù
文献[文獻]	wénxiàn
文雅[文雅]	wényǎ
文艺[文藝]	wényì
问世[問世]	wènshì
窝[窩]	wō
乌黑[烏黑]	wūhēi
污蔑[汙蔑]	wūmiè
诬陷[誣陷]	wūxiàn
无比[無比]	wúbǐ
无偿[無償]	wúcháng
无耻[無恥]	wúchǐ
无动于衷[無動于衷]	wúdòngyúzhōng
无非[無非]	wúfēi
无辜[無辜]	wúgū
无精打采[無精打采]	wújīngdǎcǎi
无赖[無賴]	wúlài
无理取闹[無理取鬧]	wúlǐqǔnào
无能为力[無能爲力]	wú néng wéi lì
无穷无尽[無窮無盡]	wúqióngwújìn
无微不至[無微不至]	wú wēi bú zhì
无忧无虑[無憂無慮]	wúyōuwúlǜ
无知[無知]	wúzhī
武器[武器]	wǔqì
武侠[武俠]	wǔxiá
武装[武裝]	wǔzhuāng
侮辱[侮辱]	wǔrǔ
舞蹈[舞蹈]	wǔdǎo
务必[務必]	wùbì
物美价廉[物美價廉]	wùměijiàlián
物业[物業]	wùyè
物资[物資]	wùzī
误差[誤差]	wùchā
误解[誤解]	wùjiě
夕阳[夕陽]	xīyáng
昔日[昔日]	xīrì
牺牲[犧牲]	xīshēng
溪[溪]	xī
熄灭[熄滅]	xīmiè
膝盖[膝蓋]	xīgài
习俗[習俗]	xísú
袭击[襲擊]	xíjī
媳妇[媳婦]	xífù
喜闻乐见[喜聞樂見]	xǐwénlèjiàn
喜悦[喜悅]	xǐyuè
系列[系列]	xìliè
细胞[細胞]	xìbāo
细菌[細菌]	xìjūn
细致[細致]	xìzhì
峡谷[峽谷]	xiágǔ
狭隘[狹隘]	xiá'ài
狭窄[狹窄]	xiázhǎi
霞[霞]	xiá
下属[下屬]	xiàshǔ
先进[先進]	xiānjìn
先前[先前]	xiānqián
纤维[纖維]	xiānwéi
掀起[掀起]	xiānqǐ
鲜明[鮮明]	xiānmíng
闲话[閑話]	xiánhuà
贤惠[賢惠]	xiánhuì
弦[弦]	xián
衔接[銜接]	xiánjiē
嫌[嫌]	xián
嫌疑[嫌疑]	xiányí
显著[顯著]	xiǎnzhù
现场[現場]	xiànchǎng
现成[現成]	xiànchéng
现状[現狀]	xiànzhuàng
线索[線索]	xiànsuǒ
宪法[憲法]	xiànfǎ
陷害[陷害]	xiànhài
陷阱[陷阱]	xiànjǐng
陷入[陷入]	xiànrù
馅儿[餡兒]	xiànr
乡镇[鄉鎮]	xiāngzhèn
相差[相差]	xiāngchà
相等[相等]	xiāngděng
相辅相成[相輔相成]	xiāngfǔxiāngchéng
相应[相應]	xiāngyìng
镶嵌[鑲嵌]	xiāngqiàn
响亮[響亮]	xiǎngliàng
响应[響應]	xiǎngyìng
想方设法[想方設法]	xiǎng fāng shè fǎ
向导[向導]	xiàngdǎo
向来[向來]	xiànglái
向往[向往]	xiàngwǎng
巷[巷]	xiàng
相声[相聲]	xiàngsheng
削[削]	xuē
消除[消除]	xiāochú
消毒[消毒]	xiāo dú
消防[消防]	xiāofáng
消耗[消耗]	xiāohào
消灭[消滅]	xiāomiè
销毁[銷毀]	xiāohuǐ
潇洒[潇灑]	xiāosǎ
小心翼翼[小心翼翼]	xiǎoxīn yìyì
肖像[肖像]	xiàoxiàng
效益[效益]	xiàoyì
协会[協會]	xiéhuì
协商[協商]	xiéshāng
协调[協調]	xiétiáo
协议[協議]	xiéyì
协助[協助]	xiézhù
携带[攜帶]	xiédài
泄露[泄露]	xièlòu
泄气[泄氣]	xièqì
屑[屑]	xiè
谢绝[謝絕]	xièjué
心得[心得]	xīndé
心甘情愿[心甘情願]	xīngānqíngyuàn
心灵[心靈]	xīnlíng
心态[心態]	xīntài
心疼[心疼]	xīnténg
心血[心血]	xīnxuè
心眼儿[心眼兒]	xīnyǎnr
辛勤[辛勤]	xīnqín
欣慰[欣慰]	xīnwèi
欣欣向荣[欣欣向榮]	xīnxīn xiàng róng
新陈代谢[新陳代謝]	xīn chén dàixiè
新郎[新郎]	xīnláng
新娘[新娘]	xīnniáng
新颖[新穎]	xīnyǐng
薪水[薪水]	xīnshuǐ
信赖[信賴]	xìnlài
信念[信念]	xìnniàn
信仰[信仰]	xìnyǎng
信誉[信譽]	xìnyù
兴隆[興隆]	xīnglóng
兴旺[興旺]	xīngwàng
腥[腥]	xīng
刑事[刑事]	xíngshì
行政[行政]	xíngzhèng
形态[形態]	xíngtài
兴高采烈[興高采烈]	xìng gāo cǎi liè
兴致勃勃[興致勃勃]	xìngzhìbóbó
性感[性感]	xìnggǎn
性命[性命]	xìngmìng
性能[性能]	xìngnéng
凶恶[凶惡]	xiōng'è
凶手[凶手]	xiōngshǒu
汹涌[洶湧]	xiōngyǒng
胸怀[胸懷]	xiōnghuái
胸膛[胸膛]	xiōngtáng
雄厚[雄厚]	xiónghòu
雄伟[雄偉]	xióngwěi
修复[修複]	xiūfù
修建[修建]	xiūjiàn
修养[修養]	xiūyǎng
羞耻[羞恥]	xiūchǐ
绣[繡]	xiù
嗅觉[嗅覺]	xiùjué
须知[須知]	xūzhī
虚假[虛假]	xūjiǎ
虚荣[虛榮]	xūróng
虚伪[虛僞]	xūwěi
需求[需求]	xūqiú
许可[許可]	xǔkě
序言[序言]	xùyán
畜牧[畜牧]	xùmù
酗酒[酗酒]	xùjiǔ
宣誓[宣誓]	xuān shì
宣扬[宣揚]	xuānyáng
喧哗[喧嘩]	xuānhuá
悬挂[懸挂]	xuánguà
悬念[懸念]	xuánniàn
悬殊[懸殊]	xuánshū
悬崖峭壁[懸崖峭壁]	xuányáqiàobì
旋律[旋律]	xuánlǜ
旋转[旋轉]	xuánzhuǎn
选拔[選拔]	xuǎnbá
选举[選舉]	xuǎnjǔ
选手[選手]	xuǎnshǒu
炫耀[炫耀]	xuànyào
削弱[削弱]	xuēruò
学说[學說]	xuéshuō
学位[學位]	xuéwèi
雪上加霜[雪上加霜]	xuěshàngjiāshuāng
血压[血壓]	xuèyā
熏陶[熏陶]	xūntáo
寻觅[尋覓]	xúnmì
巡逻[巡邏]	xúnluó
循环[循環]	xúnhuán
循序渐进[循序漸進]	xún xù jiàn jìn
压迫[壓迫]	yāpò
压岁钱[壓歲錢]	yāsuìqián
压缩[壓縮]	yāsuō
压抑[壓抑]	yāyì
压榨[壓榨]	yāzhà
压制[壓制]	yāzhì
鸦雀无声[鴉雀無聲]	yāquèwúshēng
亚军[亞軍]	yàjūn
烟花爆竹[煙花爆竹]	yānhuābàozhú
淹没[淹沒]	yānmò
延期[延期]	yán qī
延伸[延伸]	yánshēn
延续[延續]	yánxù
严寒[嚴寒]	yánhán
严禁[嚴禁]	yánjìn
严峻[嚴峻]	yánjùn
严厉[嚴厲]	yánlì
严密[嚴密]	yánmì
言论[言論]	yánlùn
岩石[岩石]	yánshí
炎热[炎熱]	yánrè
沿海[沿海]	yánhǎi
掩盖[掩蓋]	yǎngài
掩护[掩護]	yǎnhù
掩饰[掩飾]	yǎnshì
眼光[眼光]	yǎnguāng
眼色[眼色]	yǎnsè
眼神[眼神]	yǎnshén
演变[演變]	yǎnbiàn
演习[演習]	yǎnxí
演绎[演繹]	yǎnyì
演奏[演奏]	yǎnzòu
厌恶[厭惡]	yànwù
验收[驗收]	yànshōu
验证[驗證]	yànzhèng
氧气[氧氣]	yǎngqì
样品[樣品]	yàngpǐn
谣言[謠言]	yáoyán
摇摆[搖擺]	yáobǎi
摇滚[搖滾]	yáogǔn
遥控[遙控]	yáokòng
遥远[遙遠]	yáoyuǎn
要点[要點]	yàodiǎn
要命[要命]	yàomìng
要素[要素]	yàosù
耀眼[耀眼]	yàoyǎn
野蛮[野蠻]	yěmán
野心[野心]	yěxīn
液体[液體]	yètǐ
一度[一度]	yídù
一帆风顺[一帆風順]	yìfānfēngshùn
一贯[一貫]	yíguàn
一举两得[一舉兩得]	yìjǔliǎngdé
一流[一流]	yīliú
一目了然[一目了然]	yímùliǎorán
一如既往[一如既往]	yìrújìwǎng
一丝不苟[一絲不苟]	yìsībùgǒu
一向[一向]	yíxiàng
衣裳[衣裳]	yīshang
依旧[依舊]	yījiù
依据[依據]	yījù
依靠[依靠]	yīkào
依赖[依賴]	yīlài
依托[依托]	yītuō
仪器[儀器]	yíqì
仪式[儀式]	yíshì
遗产[遺産]	yíchǎn
遗传[遺傳]	yíchuán
遗留[遺留]	yíliú
遗失[遺失]	yíshī
疑惑[疑惑]	yíhuò
以便[以便]	yǐbiàn
以免[以免]	yǐmiǎn
以往[以往]	yǐwǎng
以至[以至]	yǐzhì
以致[以致]	yǐzhì
亦[亦]	yì
异常[異常]	yìcháng
意料[意料]	yìliào
意识[意識]	yìshi
意图[意圖]	yìtú
意味着[意味著]	yìwèizhe
意向[意向]	yìxiàng
意志[意志]	yìzhì
毅力[毅力]	yìlì
毅然[毅然]	yìrán
翼[翼]	yì
阴谋[陰謀]	yīnmóu
音响[音響]	yīnxiǎng
引导[引導]	yǐndǎo
引擎[引擎]	yǐnqíng
引用[引用]	yǐnyòng
饮食[飲食]	yǐnshí
隐蔽[隱蔽]	yǐnbì
隐患[隱患]	yǐnhuàn
隐瞒[隱瞞]	yǐnmán
隐私[隱私]	yǐnsī
隐约[隱約]	yǐnyuē
英明[英明]	yīngmíng
英勇[英勇]	yīngyǒng
婴儿[嬰兒]	yīng'ér
迎面[迎面]	yíng miàn
盈利[盈利]	yínglì
应酬[應酬]	yìngchou
应邀[應邀]	yìngyāo
拥护[擁護]	yōnghù
拥有[擁有]	yōngyǒu
庸俗[庸俗]	yōngsú
永恒[永恒]	yǒnghéng
勇于[勇于]	yǒngyú
涌现[湧現]	yǒngxiàn
踊跃[踴躍]	yǒngyuè
用户[用戶]	yònghù
优胜劣汰[優勝劣汰]	yōushèngliètài
优先[優先]	yōuxiān
优异[優異]	yōuyì
优越[優越]	yōuyuè
忧郁[憂郁]	yōuyù
犹如[猶如]	yóurú
油腻[油膩]	yóunì
油漆[油漆]	yóuqī
有条不紊[有條不紊]	yǒutiáobùwěn
幼稚[幼稚]	yòuzhì
诱惑[誘惑]	yòuhuò
渔民[漁民]	yúmín
愚蠢[愚蠢]	yúchǔn
愚昧[愚昧]	yúmèi
舆论[輿論]	yúlùn
与日俱增[與日俱增]	yǔrìjùzēng
宇宙[宇宙]	yǔzhòu
羽绒服[羽絨服]	yǔróngfú
玉[玉]	yù
预料[預料]	yùliào
预期[預期]	yùqī
预算[預算]	yùsuàn
预先[預先]	yùxiān
预言[預言]	yùyán
预兆[預兆]	yùzhào
欲望[欲望]	yùwàng
寓言[寓言]	yùyán
愈[愈]	yù
冤枉[冤枉]	yuānwang
元首[元首]	yuánshǒu
元素[元素]	yuánsù
元宵节[元宵節]	Yuánxiāo Jié
园林[園林]	yuánlín
原告[原告]	yuángào
原理[原理]	yuánlǐ
原始[原始]	yuánshǐ
原先[原先]	yuánxiān
圆满[圓滿]	yuánmǎn
缘故[緣故]	yuángù
源泉[源泉]	yuánquán
约束[約束]	yuēshù
乐谱[樂譜]	yuèpǔ
岳母[嶽母]	yuèmǔ
孕育[孕育]	yùnyù
运算[運算]	yùnsuàn
运行[運行]	yùnxíng
酝酿[醞釀]	yùnniàng
蕴藏[蘊藏]	yùncáng
熨[熨]	yùn
杂技[雜技]	zájì
杂交[雜交]	zájiāo
砸[砸]	zá
咋[咋]	zǎ
灾难[災難]	zāinàn
栽培[栽培]	zāipéi
宰[宰]	zǎi
再接再厉[再接再厲]	zàijiēzàilì
在意[在意]	zài yì
攒[攢]	zǎn
暂且[暫且]	zànqiě
赞叹[贊歎]	zàntàn
赞助[贊助]	zànzhù
遭受[遭受]	zāoshòu
遭殃[遭殃]	zāo yāng
遭遇[遭遇]	zāoyù
糟蹋[糟蹋]	zāotà
造型[造型]	zàoxíng
噪音[噪音]	zàoyīn
责怪[責怪]	zéguài
贼[賊]	zéi
增添[增添]	zēngtiān
赠送[贈送]	zèngsòng
扎[紮]	zhā
扎实[紮實]	zhāshi
渣[渣]	zhā
眨[眨]	zhǎ
诈骗[詐騙]	zhàpiàn
摘要[摘要]	zhāiyào
债券[債券]	zhàiquàn
沾光[沾光]	zhān guāng
瞻仰[瞻仰]	zhānyǎng
斩钉截铁[斬釘截鐵]	zhǎn dīng jié tiě
展示[展示]	zhǎnshì
展望[展望]	zhǎnwàng
展现[展現]	zhǎnxiàn
崭新[嶄新]	zhǎnxīn
占据[占據]	zhànjù
占领[占領]	zhànlǐng
战斗[戰鬥]	zhàndòu
战略[戰略]	zhànlüè
战术[戰術]	zhànshù
战役[戰役]	zhànyì
章程[章程]	zhāngchéng
帐篷[帳篷]	zhàngpeng
障碍[障礙]	zhàng'ài
招标[招標]	zhāobiāo
招收[招收]	zhāoshōu
朝气蓬勃[朝氣蓬勃]	zhāo qì péng bó
着迷[著迷]	zháomí
沼泽[沼澤]	zhǎozé
照样[照樣]	zhàoyàng
照耀[照耀]	zhàoyào
折腾[折騰]	zhēteng
遮挡[遮擋]	zhēdǎng
折[折]	zhé
折磨[折磨]	zhémo
侦探[偵探]	zhēntàn
珍贵[珍貴]	zhēnguì
珍稀[珍稀]	zhēnxī
珍珠[珍珠]	zhēnzhū
真理[真理]	zhēnlǐ
真相[真相]	zhēnxiàng
真挚[真摯]	zhēnzhì
斟酌[斟酌]	zhēnzhuó
枕头[枕頭]	zhěntou
阵地[陣地]	zhèndì
阵容[陣容]	zhènróng
振奋[振奮]	zhènfèn
振兴[振興]	zhènxīng
震撼[震撼]	zhènhàn
震惊[震驚]	zhènjīng
镇定[鎮定]	zhèndìng
镇静[鎮靜]	zhènjìng
正月[正月]	zhēngyuè
争端[爭端]	zhēngduān
争夺[爭奪]	zhēngduó
争气[爭氣]	zhēng qì
争先恐后[爭先恐後]	zhēng xiān kǒng hòu
争议[爭議]	zhēngyì
征服[征服]	zhēngfú
征收[征收]	zhēngshōu
挣扎[掙紮]	zhēngzhá
蒸发[蒸發]	zhēngfā
整顿[整頓]	zhěngdùn
正当[正當]	zhèng dāng
正负[正負]	zhèngfù
正规[正規]	zhèngguī
