//Chinese With Mike/Vocabulary/Greetings
你好	nǐ hǎo!	Hello; hi (You good?)
我要刷牙。	Wǒ yào shuāyá.	I must brush my teeth.
我要胡子。	Wǒ yào húzi.	I must shave.
我要梳头发。	Wǒ yào shū tóufǎ.	I must comb my hair.
我要剪头发。	Wǒ yào jiǎn tóufǎ.	I must cut my hair.

//Chinese With Mike/Season 3/Ch 75: Yao vs. Xiang II
你要喝什么？	Nǐ yào hē shénme?	Do you want to drink something?
我要喝水。	Wǒ yào hē shuǐ. 	I want to drink water.
你要去哪里？	Nǐ yào qù nǎlǐ? 	Where are you going?
我要去外面。	Wǒ yào qù wàimiàn. 	I'm going outside.
今天我很忙。	Jīntiān wǒ hěn máng. 	Today I am busy.
为什么？	Wèishénme? 	Why?
因为我要做很多事。	Yīnwèi wǒ yào zuò hěnduō shì. 	Because I must do many things.
我要洗澡。	Wǒ yào xǐzǎo. 	I must shower.
我要洗头发。	Wǒ yào xǐ tóu fǎ. 	I must wash my hair.
我要洗脸。	Wǒ yào xǐliǎn. 	I must wash my face.
我要洗手。	Wǒ yào xǐshǒu. 	I must wash my hands.
我要刷牙。	Wǒ yào shuāyá. 	I must brush my teeth.
我要胡子。	Wǒ yào húzi. 	I must shave.
我要梳头发。	Wǒ yào shū tóufǎ. 	I must comb my hair.
我要剪头发。	Wǒ yào jiǎn tóufǎ. 	I must cut my hair.
想	Xiǎng	To want, would like to, think about, to miss
我想你。	Wǒ xiǎng nǐ. 	I miss you.
明天你要去哪里？	Míngtiān nǐ yào qù nǎlǐ? 	Where are you going to go tomorrow?
明天我要去学校。	Míngtiān wǒ yào qù xuéxiào. 	I am going to go to school.
明天你想去哪里？	Míngtiān nǐ xiǎng qù nǎlǐ? 	Where would you like to go tomorrow?
明天我想去动物园。	Míngtiān wǒ xiǎng qù dòngwùyuán.	Tomorrow I want to go to the zoo.

//Chinese With Mike/Season 3/Ch 76: Yao vs. Xiang III
我在想。	wǒ zài xiǎng.	I am thinking.
我在想我的未来。	wǒ zài xiǎng wǒ de wèilái.	I am thinking about my future.
不要想太多。	bùyào xiǎng tài duō.	Don't think about it too much.
不要吃太多。	bùyào chī tài duō.	Don't eat too much.
不要喝太多。	bùyào hē tài duō.	Don't drink too much.
我很想我的妈妈。	wǒ hěn xiǎng wǒ de māmā.	I really miss my mother.
你想我吗？	nǐ xiǎng wǒ ma?	Do you miss me?
想。我想你。	xiǎng. Wǒ xiǎng nǐ.	Yes I do. I miss you.
我想家。	wǒ xiǎng jiā.	I am homesick.
我要吃牛肉。	wǒ yào chī niúròu.	I want to eat beef.
我想吃牛肉。	wǒ xiǎng chī niúròu.	I would like to eat beef.
我想点一碗汤。	wǒ xiǎng diǎn yī wǎn tāng.	I would like a bowl of soup.
她想点一份春卷。	tā xiǎng diǎn yī fèn chūnjuǎn.	I would like to order a portion of spring rolls.
你想去咖啡厅吗？	nǐ xiǎng qù kāfēi tīng ma?	Do you want to go to the cafe?
想。我想去。	xiǎng. Wǒ xiǎng qù.	Yes. I would like to go.
他们想不想来我们(的)家？	tāmen xiǎng bùxiǎng lái wǒmen (de) jiā?	Would they like to come to our home?
明年我要去中国。	míngnián wǒ yào qù zhōngguó.	I am going to go to China next year.
明年我想去英国。	míngnián wǒ xiǎng qù yīngguó.	I would like to go to the UK next year.
明天我要工作。	míngtiān wǒ yào gōngzuò.	I must work tomorrow.
明天我想去电影。	míngtiān wǒ xiǎng qù diànyǐng.	I would like to go to a movie tomorrow.

//Chinese With Mike/Season 3/Ch 77: You: There is/There are
有	yǒu	To have, there is, there are
你家有几个人？	nǐ jiā yǒu jǐ gèrén?	How many people are in your home?
我家有五个人。	wǒjiā yǒu wǔ gèrén.	There are 5 people in my family.
你家有几台电视？	nǐ jiā yǒu jǐ tái diànshì?	How many TVs does your home have?
我家有三台。	wǒjiā yǒusān tái.	My home has three of them.
你的班有几个学生？	nǐ de bān yǒu jǐ gè xuéshēng?	How many students are there in your class.
我的班有十个学生。	wǒ de bān yǒu shí gè xuéshēng.	My class has ten students.
美国有几个州？	Měiguó yǒu jǐ gè zhōu?	The US has how many states?
美国有50个州。	Měiguó yǒu 50 gè zhōu.	The US has 50 states.
桌子的上面有基本书？	zhuōzi de shàngmiàn yǒu jīběn shū?	How many books are on the table?
桌子的上面有四本书。	zhuōzi de shàngmiàn yǒu sì běn shū.	There are four books on the table.
椅子下面有几只笔？	yǐzi xiàmiàn yǒu jǐ zhǐ bǐ?	How many pens are under the chair?
椅子的下面有八只(笔)。	yǐzi de xiàmiàn yǒu bā zhǐ (bǐ).	There are 8 pens under the chair.
冰箱的里面有几瓶水？	bīngxiāng de lǐmiàn yǒu jǐ píng shuǐ?	How many bottles of water are in the fridge?
冰箱的里面有两瓶(水)	bīngxiāng de lǐmiàn yǒu liǎng píng (shuǐ)	There are two bottles in the fridge.
Mike老师的旁边有几颗球？	Mike lǎoshī de pángbiān yǒu jǐ kē qiú?	How many balls are beside Teacher Mike?
Mike老师的旁边有一颗(球)。	Mike lǎoshī de pángbiān yǒuyī kē (qiú).	There is one ball next to Teacher Mike.

//Chinese With Mike/Season 3/Ch 78: Present Progressive
我看电视。	wǒ kàn diànshì.	I watch TV.
我在看电视。	wǒ zài kàn diànshì.	I am watching TV
你打乒乓球。	nǐ dǎ pīngpāng qiú.	You play table tennis.
你在打乒乓球。	nǐ zài dǎ pīngpāng qiú.	You are playing table tennis.
她听音乐。	tā tīng yīnyuè.	She listens to music.
她在听音乐。	tā zài tīng yīnyuè.	She is listening to music.
我们学中文。	wǒmen xué zhōngwén.	We study Chinese.
我们在学中文。	wǒmen zàixué zhōngwén.	We are studying Chinese.
你在做什么？	nǐ zài zuò shénme?	What are you doing?
我在煮饭。	wǒ zài zhǔ fàn.	I am cooking.
他们在做什么？	tāmen zài zuò shénme?	What are they doing?
他们在玩游戏。	tāmen zài wán yóuxì.	They are playing a game.
你们在做什么？	nǐmen zài zuò shénme?	What are you guys doing?
我们在看Chinese With Mike。	wǒmen zài kàn Chinese With Mike.	We are watching Chinese With Mike.
你妹妹在做什么？	nǐ mèimei zài zuò shénme?	What is your younger sister doing?
她在弹钢琴。	tā zài dàn gāngqín.	She is playing the piano.

//Chinese With Mike/Season 3/Ch 79: More Present Progressive
做	zuò	To make, to do
你在做什么？	nǐ zài zuò shénme?	What are you doing?
我在看报纸。	wǒ zài kàn bàozhǐ.	I am reading the newspaper.
我在工作。	wǒ zài gōngzuò.	I am working.
她在做什么？	tā zài zuò shénme?	What is she doing?
她在写中文字。	tā zài xiě zhōngwén zì.	She is writing Chinese Characters.
我们在跳舞。	wǒmen zài tiàowǔ.	We are dancing.
你们在等谁？	nǐmen zài děng shuí?	Who are you waiting for?
我们在等我们的朋友。	wǒmen zài děng wǒmen de péngyǒu.	We are waiting for our friends.
他们在看什么？	tāmen zài kàn shénme?	What are they watching?
他们在看新闻。	tāmen zài kàn xīnwén.	They are watching the news.
Mike老师在喝什么？	mike lǎoshī zài hē shénme?	What is Teacher Mike drinking?
他在喝水。	tā zài hē shuǐ.	He is drinking water.
他们的妈妈再吃什么水果？	tāmen de māmā zài chī shénme shuǐguǒ?	What fruit is their mum eating?
她在吃草莓。	tā zài chī cǎoméi.	She is eating strawberries.
她喜欢吃很甜的草莓。	tā xǐhuan chī hěn tián de cǎoméi.	She likes to eat sweet strawberries.
你在看什么电影？	nǐ zài kàn shénme diànyǐng?	What movie are you watching?

//Chinese With Mike/Season 3/Ch 80: Yes-No Question Review and Farewell!
你是房东吗？	nǐ shì fángdōng ma?	Are you a landlord?
是。我是房东。	shì. Wǒ shì fángdōng.	Yes. I'm a landlord.
不是。我不是房东。	bùshì. Wǒ bùshì fángdōng.	No. I'm not a landlord.
你要租房子吗？	nǐ yào zū fángzi ma?	Do you want to rent a place?
要。我要租房子。	yào. Wǒ yào zū fángzi.	Yes. I want to rent a place.
不要。我不要租房子。	bùyào. Wǒ bùyào zū fángzi.	No. I don't want to rent a place.
你的朋友会说中文吗？	nǐ de péngyǒu huì shuō zhōngwén ma?	Can your friend speak Chinese?
你的朋友会不会中文？	nǐ de péngyǒu huì bù huì zhōngwén?	Can your friend speak Chinese?
会。我的朋友会说中文。	huì. Wǒ de péngyǒu huì shuō zhōngwén.	Yes. My friend can speak Chinese.
不会。我的朋友不会中文。	bù huì. Wǒ de péngyǒu bù huì zhōngwén.	No. My friend can't speak Chinese.
你喜欢看书吗？	nǐ xǐhuan kàn shū ma?	Do you like reading?
喜欢。我喜欢看书。	xǐhuan. Wǒ xǐhuan kàn shū.	Yes. I like reading.
不喜欢。我不喜欢看书。	bù xǐhuan. Wǒ bù xǐhuan kàn shū.	No. I don't like reading.
你有小孩(子)吗？	nǐ yǒu xiǎohái (zi) ma?	Do you have children?
有。我有小孩(子)。	yǒu. Wǒ yǒu xiǎohái (zi).	Yes. I have children.
没有。我没有小孩(子)。	méiyǒu. Wǒ méiyǒu xiǎohái (zi).	No. I don't have children.
你想去伦敦吗？	nǐ xiǎng qù lúndūn ma?	Would you like to go to London?
想。我想去伦敦。	xiǎng. Wǒ xiǎng qù lúndūn.	Yes. I would like to go to London.
不想。我不想去伦敦。	bùxiǎng. Wǒ bùxiǎng qù lúndūn.	No. I would not like to go to London.
他在餐厅吗？	tā zài cāntīng ma?	Is he at the restaurant?
在他在餐厅。	zài tā zài cāntīng.	Yes. He is at the restaurant.
不再。他不再餐厅。	bù zài. Tā bù zài cāntīng.	No. He is not at the restaurant.
你很忙吗？	nǐ hěn máng ma?	Are you busy?
是。我很忙。	shì. Wǒ hěn máng.	Yes. I'm busy.
不。我不忙。	bù. Wǒ bù máng.	No. I'm not busy.
你在吃面吗？	nǐ zài chī miàn ma?	Are you eating noodles?
是。我在吃面。	shì. Wǒ zài chī miàn.	Yes. I am eating noodles.
不。我在吃炒饭。	bù. Wǒ zài chī chǎofàn.	No. I am eating fried rice.
